,index,circuit,loss,k1,k2,theta1,theta2,Circuit,best_losses,best_loss_circuit
1,1,"((0, 1, 0), (1, 0, 0))",21211659.044132903,3.2918140061679564,0.8882319609693944,6.215109172814111,7.17801199258283,Dual Control,100000.0,Initial
2,2,"((0, 1, 0), (1, 0, 0))",66995357.18969277,4.828381765211004,0.7583950734619592,8.211898907014412,1.5071406280269146,Dual Control,100000.0,Initial
3,3,"((0, 1, 0), (1, 0, 0))",12665212.696849246,1.083360495917379,3.5347191930469615,4.872525198598275,0.19204237721328896,Dual Control,100000.0,Initial
4,4,"((0, 1, 0), (1, 0, 0))",40468489.85682351,2.5098387016872556,2.5339430409905437,7.40081789785342,4.713499020950098,Dual Control,100000.0,Initial
5,5,"((0, 1, 0), (1, 0, 0))",1011293.9707890108,1.032612981884803,1.8089653961010794,0.4968139609996959,0.29815959141887793,Dual Control,100000.0,Initial
6,6,"((0, 1, 0), (1, 0, 0))",208246912.2628185,4.704201810612782,4.910102401179445,9.038144355776158,1.5426680956554757,Dual Control,100000.0,Initial
7,7,"((0, 1, 0), (1, 0, 0))",10827803.361947652,3.4141448849851854,4.478836626022003,2.2128014957749325,7.395953972650696,Dual Control,100000.0,Initial
8,8,"((0, 1, 0), (1, 0, 0))",59218771.20022492,2.3356453865894515,4.270113134089136,9.76439055956152,1.2735581293696991,Dual Control,100000.0,Initial
9,9,"((0, 1, 0), (1, 0, 0))",105221796.2444106,3.1231850504152656,4.602247706916435,9.237423982144975,0.1567543834451551,Dual Control,100000.0,Initial
0,0,"((0, 0, 1), (0, 0, 1))",135455724.9489565,3.334383876881336,4.0614970693077765,6.81639229811217,1.0058530145445022,Open Loop,100000.0,Initial
1,1,"((0, 0, 1), (0, 0, 1))",226585.32590705118,0.13626043378593083,1.2200920314394907,0.5171356330017359,2.3295981538153048,Open Loop,100000.0,Initial
2,2,"((0, 0, 1), (0, 0, 1))",1913756.5680387884,0.39634705579799356,1.035952301188959,5.963620381336824,2.5807922944552026,Open Loop,100000.0,Initial
3,3,"((0, 0, 1), (0, 0, 1))",11964675.535282843,0.991031821532908,1.1415511925239872,8.517094657263339,8.246253571806891,Open Loop,100000.0,Initial
4,4,"((0, 0, 1), (0, 0, 1))",90052923.0767488,2.718783078734998,0.6959753050606615,0.5844228458561123,2.8762852642168455,Open Loop,100000.0,Initial
5,5,"((0, 0, 1), (0, 0, 1))",71902789.82361737,2.4294290086190204,0.8012159594343126,5.366373365344746,6.654832975463002,Open Loop,100000.0,Initial
6,6,"((0, 0, 1), (0, 0, 1))",4177927.7284859414,0.5856027112834317,1.725139160558448,1.8415260411848549,2.1903613191308593,Open Loop,100000.0,Initial
7,7,"((0, 0, 1), (0, 0, 1))",6543.584556452099,0.021016911162898638,2.395844671497677,4.099688326569209,2.115541850164403,Open Loop,6543.584556452099,Open Loop
8,8,"((0, 0, 1), (0, 0, 1))",267347367.57967097,4.68440448465891,0.7072100038554754,4.093120627335437,3.9593077003887576,Open Loop,6543.584556452099,Open Loop
9,9,"((0, 0, 1), (0, 0, 1))",73951784.62392303,2.463759570175319,2.347079318993776,1.2562645274546953,4.109689722421981,Open Loop,6543.584556452099,Open Loop
