,index,circuit,loss,k1,k2,theta1,theta2,Circuit,best_losses,best_loss_circuit
311,311,"((0, 1, 0), (1, 0, 0))",996784.2724519785,0.39196748444743146,2.286617428892157,2.28349174517531,2.458368859408963,Dual Control,0.2118441422119579,Dual Control
312,312,"((0, 1, 0), (0, 0, 1))",41189061.278765045,4.608625445729372,0.49208695380954026,7.323591112606369,5.2788966814013225,Upstream Repression,0.2118441422119579,Dual Control
313,313,"((0, 1, 0), (1, 0, 0))",543568.1080469703,0.6509610795574059,4.396062684558313,0.8321979221831697,3.0194254881977036,Dual Control,0.2118441422119579,Dual Control
314,314,"((0, 0, 1), (1, 0, 0))",331947875.5988603,4.762745161885929,3.545956253408118,5.107396446057176,9.21032513199079,Downstream Activation,0.2118441422119579,Dual Control
315,315,"((0, 1, 0), (1, 0, 0))",11508292.385852018,1.0140753047162936,3.260433466997917,8.12038496807625,4.422416402556285,Dual Control,0.2118441422119579,Dual Control
316,316,"((0, 1, 0), (1, 0, 0))",13454261.136981152,1.5938940099254322,3.001768900955945,4.871435468891779,6.382632041453001,Dual Control,0.2118441422119579,Dual Control
317,317,"((0, 1, 0), (1, 0, 0))",45730.011825882895,1.2029330539756917,3.421938413380205,0.2814872275707925,5.164161348790293,Dual Control,0.2118441422119579,Dual Control
318,318,"((0, 1, 0), (1, 0, 0))",359.5007381011319,0.004927956368925512,3.1248723481948275,8.840272122993492,5.761230248128388,Dual Control,0.2118441422119579,Dual Control
319,319,"((0, 0, 1), (0, 0, 1))",892593.9367840568,0.24682506068733057,3.2110706431179894,7.776964941657928,3.4126581716987734,Open Loop,0.2118441422119579,Dual Control
320,320,"((0, 1, 0), (1, 0, 0))",464762.9174405585,0.8064636634766386,1.8607150738146627,1.452927308166985,6.951472735388222,Dual Control,0.2118441422119579,Dual Control
321,321,"((0, 1, 0), (0, 0, 1))",17671848.234844115,3.3059811493249853,0.9459156002462801,2.8249023471762564,1.9030872571246196,Upstream Repression,0.2118441422119579,Dual Control
322,322,"((0, 1, 0), (1, 0, 0))",360339.65837533073,1.4055875775237938,4.54711039391251,0.6324325409350848,6.003099361683489,Dual Control,0.2118441422119579,Dual Control
323,323,"((0, 1, 0), (1, 0, 0))",9.816422740416183,0.5560429696200937,2.339362001121184,0.009258649876413923,4.007909180745894,Dual Control,0.2118441422119579,Dual Control
324,324,"((0, 0, 1), (1, 0, 0))",30566326.04384408,1.4453085993795802,1.5739317565791797,9.607742254993376,3.9406794254638893,Downstream Activation,0.2118441422119579,Dual Control
325,325,"((0, 1, 0), (1, 0, 0))",26754652.103166133,3.750452882476033,3.919869543153256,1.8470062828264644,2.241622566165315,Dual Control,0.2118441422119579,Dual Control
326,326,"((0, 1, 0), (1, 0, 0))",3509375.69557948,2.157869276601546,2.7283980003017323,1.1928537438909286,3.1648862686948247,Dual Control,0.2118441422119579,Dual Control
327,327,"((0, 1, 0), (1, 0, 0))",2320284.855082775,2.626902811952491,2.5818715928629734,0.9230506710879568,3.475409175311616,Dual Control,0.2118441422119579,Dual Control
328,328,"((0, 0, 1), (0, 0, 1))",280875329.7908015,4.38103599326913,1.6068185179700736,2.392677889539306,7.9657534760180635,Open Loop,0.2118441422119579,Dual Control
329,329,"((0, 1, 0), (1, 0, 0))",24048488.60853312,1.8201048686204353,2.1284874494488237,5.306336025485726,2.647811972528686,Dual Control,0.2118441422119579,Dual Control
330,330,"((0, 1, 0), (0, 0, 1))",2076.644963093052,0.0035543051243647206,3.799500009127877,6.307843905234956,6.375182234695843,Upstream Repression,0.2118441422119579,Dual Control
